price,bedrooms,bathrooms,sqft,location
715000,4,1,2000,98103
650000,6,2.75,3610,98008
218000,5,1.75,1930,98023
500000,2,1,1280,98117
460000,4,2,2090,98027
232500,3,1.5,1940,98003
408200,3,2.5,1800,98106
522000,3,1.75,1730,98052
675000,4,2.5,2810,98074
1.36E+06,4,3.5,3550,98006
249950,4,1,1330,98168
210000,2,1,750,98168
429950,4,1,1760,98133
737500,4,2.5,3200,98053
710000,4,2,1740,98033
470000,3,2.5,2100,98065
1.10E+06,4,3.5,4270,98077
650000,3,2,1340,98103
1.22E+06,4,2.5,3190,98006
422120,3,2.5,1630,98034
625000,5,2.5,2990,98011
385200,4,1,1550,98126
500000,3,2.25,1690,98029
308000,4,2.25,1960,98042
565000,3,2.75,2390,98006
581000,3,2.5,2600,98053
361000,3,2,1950,98042
345000,3,1,1250,98008
419000,2,2.25,1180,98122
347000,3,2.5,1680,98056
625000,4,2.25,2220,98075
2.40E+06,4,4.25,4890,98040
379000,3,3.25,2660,98010
310000,3,1.5,1150,98029
250000,2,2,1130,98030
682000,5,2.75,2760,98059
246500,3,2,1430,98022
325000,3,1,1490,98092
310950,4,2.5,2030,98031
1.10E+06,3,2,3010,98199
287500,3,1,1810,98133
431000,3,1,1810,98133
226000,3,1,970,98118
825000,3,1.75,2010,98103
175000,4,1,1300,98168
465750,3,1.5,1260,98008
659000,4,2.25,2610,98075
595000,3,1.75,1910,98115
350000,3,2.25,1780,98058
270000,4,2.25,1900,98023
662500,6,2.25,2450,98008
249900,3,1.75,1380,98001
324500,3,1.75,1920,98023
430000,2,1.75,1350,98053
419950,2,1.75,1350,98053
285000,4,1.75,2510,98032
332000,4,2.5,2470,98092
282000,4,1.75,1660,98168
320000,3,1,1340,98133
428750,3,1,1620,98006
330000,3,2.25,2300,98022
456500,4,3.5,2000,98177
352000,3,2.25,1640,98059
664000,4,2,1530,98105
628000,3,1.75,4000,98011
512000,3,1.75,1610,98052
254000,3,2,2070,98023
535800,4,2.5,1900,98029
287653,3,1,1050,98038
438000,3,2.5,1520,98136
450000,4,1.75,2390,98028
327000,5,2.75,2400,98092
370500,4,2.5,1790,98059
265000,3,2.5,1720,98038
450000,4,2.75,2980,98056
425000,3,1,1520,98027
166600,3,1.75,1150,98042
245000,1,0.75,380,98168
565000,3,1,910,98115
539900,3,1.75,1650,98033
910000,3,3.5,2480,98144
280000,4,2.5,2050,98092
275000,3,2.25,1420,98038
467000,3,2.5,3460,98056
457500,3,2.5,1500,98029
381156,2,1,1320,98118
289999,5,2.5,2180,98092
642450,3,1.75,1830,98144
469950,3,2.25,1620,98007
795000,3,2,2920,98033
785000,4,2.5,3300,98074
860000,3,2.25,3060,98006
1.10E+06,0,0,3064,98102
147500,3,1,1530,98031
390000,3,2,1910,98011
229000,3,1,1020,98198
185000,3,1,1150,98168
414900,3,1.5,1260,98115
200000,4,2,1920,98136
225000,4,2.25,1800,98092
720000,3,1.75,2040,98105
930000,4,2.5,2200,98119
1.27E+06,5,2.5,3200,98004
700000,5,3.25,2400,98122
466000,2,1.5,1140,98103
374000,3,1.5,1330,98011
480000,3,2.5,1940,98072
740000,3,2.5,3000,98053
1.01E+06,4,1,1820,98102
395000,4,2.5,2910,98042
340000,2,1,1090,98106
209000,3,2,1230,98106
431650,5,2.5,1710,98007
980000,5,2.5,3160,98040
660000,3,2.5,2680,98077
730000,4,2.25,2190,98033
291500,3,1.75,1260,98042
905000,4,3.5,2970,98040
800000,4,2.5,2570,98077
839900,4,3.5,3810,98056
200000,1,1.5,1010,98126
300000,3,2,1480,98058
530000,3,1.75,1250,98115
314950,3,2.25,1654,98038
255000,3,1.75,1410,98031
550000,5,2.75,2160,98144
435000,3,1,1400,98136
234000,3,1.75,1420,98002
615000,4,2.25,2500,98052
205000,3,2,1410,98001
384000,4,1.75,2100,98106
324000,3,2.5,1750,98055
645000,3,1.75,2070,98115
570000,3,3.25,1570,98107
324000,3,2.5,1920,98031
270000,2,1,1000,98106
290000,5,1.5,2120,98058
250000,3,2,1440,98198
342000,3,1.75,1660,98014
255000,3,1.5,1340,98188
800000,3,2.25,2380,98040
451000,3,1.75,1560,98126
990000,4,2.5,2780,98033
288400,4,2.5,1860,98031
420000,3,1.5,2390,98118
359000,2,2.75,1370,98133
390000,4,3,2570,98058
300000,3,2.5,1320,98118
545000,5,2.5,2520,98034
288349,3,1,1250,98010
299900,3,2.25,1560,98092
891000,4,2,2330,98117
1.20E+06,3,2,3660,98117
378000,4,2.5,2790,98038
299995,2,1,1060,98155
253000,3,2.5,2020,98042
350000,3,2.25,1580,98024
565000,4,3,2020,98107
315000,2,1,970,98118
570000,4,3,1490,98136
971000,5,3.5,4390,98125
915000,5,2.5,2750,98112
419000,4,1.5,2150,98166
260000,4,1.75,1810,98023
1.32E+06,3,3,2230,98004
369950,3,1,2430,98045
1.03E+06,3,2.5,3680,98006
435000,5,1,1410,98118
601000,3,1.75,1330,98125
460500,3,1,1490,98033
720000,3,2.5,2020,98103
851000,4,2.5,3130,98075
550000,4,3,2670,98126
700000,4,1,1980,98103
